Date,Type,Link
2023-02-12 06:01:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7029859657166774272
2023-02-12 05:59:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030377922091728896
2023-02-12 05:59:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030030173286633472?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7030030173286633472%2C7030384096795049984%29
2023-02-10 08:37:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029647538911657984
2023-02-09 09:07:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029048966562410497
2023-02-09 08:35:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029281517201698816
2023-02-09 08:34:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A40057-7029149436224126976
2023-02-09 08:34:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7029316418810593280
2023-02-09 04:35:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028250280550883328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7028250280550883328%2C7028250384661909504%29
2023-02-08 17:42:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7026046456343998464
2023-02-08 17:42:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020735146546905089
2023-02-08 17:41:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028678376550768640
2023-02-08 17:38:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029079595744145408
2023-02-07 12:58:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028595798573543424
2023-02-07 06:06:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7028415087040184320
2023-02-07 06:05:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025394139630362625
2023-02-07 06:05:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7028276172765474816
2023-02-06 13:43:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028250280550883328
2023-02-06 05:05:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7027657192547729408
2023-02-06 05:04:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A40057-7028013200075890688
2023-02-06 05:03:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028047264874987520
2023-02-04 07:00:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7027465810977697792
2023-02-04 06:59:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7027362445715255296
2023-02-02 13:51:03,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026655276283965440
2023-02-02 13:50:29,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026881736915492864
2023-01-31 06:32:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026033237781024768
2023-01-27 04:19:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024487812716539904
2023-01-26 10:56:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7019373356806213632?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7019373356806213632%2C7024328882929451008%29
2023-01-26 07:11:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024271095432110081
2023-01-26 07:00:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024206333654491136
2023-01-25 12:47:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021732130338578432
2023-01-24 04:27:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022589174285312000
2023-01-18 09:00:42,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020660746913021952
2023-01-18 08:59:17,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020993094888112128
2023-01-17 00:22:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7020364677217947648
2023-01-17 00:21:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7020650106894901248
2023-01-14 13:45:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019891478550245376
2023-01-14 13:44:57,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019294753196290048
2023-01-13 12:48:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019492476478504960
2023-01-13 12:48:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7019373356806213632
2023-01-12 23:56:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019337721059962881
2023-01-12 23:56:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019326850753552384
2023-01-12 14:28:28,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019196292002181120
2023-01-12 14:17:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7019186328474968064
2023-01-11 05:14:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018584740093931521
2023-01-11 05:14:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016468354500616193
2023-01-11 05:14:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7018769894263418881
2023-01-11 05:13:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7018744055769534464
2023-01-10 15:59:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018557176122118145
2023-01-10 06:38:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018453999129407488
