Date,Link,OptionText
2021-08-01 12:48:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6827520159742328832,College campus selection
2021-08-01 03:10:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6827304877258027009,Good UX
2021-07-31 18:32:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826843301258293248,4
2021-07-31 14:49:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826840810332454912,Agile
2021-07-30 07:13:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826746117493952512,"[1,2,3]"
2021-07-30 04:34:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826684137454350336,Boss / Superior
2021-07-29 18:18:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826524143849213952,Unique Hashcode
2021-07-29 12:32:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826118533500481536,Learning
2021-07-28 03:03:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6825648281356521472,Work from home
2021-07-28 03:03:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6825799808440164353,No
2021-07-26 14:55:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6825304969562988544,LinkedIn
2021-07-24 07:10:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6824042228890046464,After 5:00 AM
2021-07-24 06:58:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6824534007066214400,Motivation
2021-07-21 10:29:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823497301265285120,Javascript
2021-07-20 19:15:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823224227202695168,"I am unemployed, nhi h Mac"
2021-07-18 16:29:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6822434410453856256,Java/C#
2021-07-18 13:13:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6822466468458872832,Java
2021-07-16 18:30:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6821707841364201472,Hyderabad
2021-07-13 08:45:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6820590192169140224,After College
2021-07-13 05:32:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6820539065188835328,E-commerce
2021-07-11 15:54:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819670595886710785,30%
2021-07-09 15:40:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819287592110964736,No
2021-07-09 13:03:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819148785038487552,YES
2021-07-08 17:31:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6818447337489354753,TCS
2021-07-05 18:26:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6817682310830419968,Family
2021-07-03 11:00:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6816930476649934848,SKILLS and Key Strengths 
2021-06-30 13:47:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6815924778847748096,Yes
2021-06-29 14:18:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6814553410105290752,50
2021-06-28 09:12:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6815135402652004352,LinkedIn👨‍💻👩‍💻
2021-06-27 10:55:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6814080350990417920,Mid
2021-06-24 09:02:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6813713481758494720,Angular
2021-06-19 15:34:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6811765081148411904,yes
2021-06-16 18:27:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810895568349597696,Manual Testing
2021-06-16 18:26:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810912253399973888,Work culture
2021-06-02 11:30:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6805733808277741568,Post Graduation
2021-06-02 11:24:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6805688209457082368,No
2021-05-26 19:29:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6802597593080844288,"Not yet, but planning."
2021-05-22 05:36:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6801366424586604545,No
2021-05-22 05:16:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6801166928774782977,CSV Operations
2021-05-21 11:37:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6801447950871515136,Green Bonds
2021-05-17 07:08:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6799929907477671938,"Hotstar,Netflix,Prime,etc."
2021-05-17 05:12:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6799705758297575425,Salary hike
2021-05-15 05:56:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6799201437504151552,String
2021-05-13 05:26:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6798305598371975168,No
2021-05-12 16:11:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6798251623526223873,My career
2021-05-12 04:51:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6797921629956558849,Good
2021-05-12 04:03:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6796290330665869312,Narendra Modi
2021-05-12 03:14:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6795739250424901633,Selenium with Java
2021-05-12 02:50:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6796027940900614144,Postman
2021-05-12 02:42:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6797797868229980160,No
